DYNAMIXEL Graph,2
MX-12W,360
ItemCount,4
Realtime Tick,#000000,0,1,0
Present Speed,#ffff00,0,1,0
Goal Position,#ff0000,0,1,0
Present Position,#0055ff,0,1,0
Time[ms],Realtime Tick,Present Speed,Goal Position,Present Position
5590,26326,0,4090,1167
5604,26340,0,4090,1167
5630,26366,0,4090,1167
5640,26376,0,4090,1167
5652,26388,0,4090,1167
5670,26406,0,4090,1167
5685,26421,0,4090,1167
5700,26436,0,4090,1167
5720,26456,0,4090,1167
5732,26468,0,4090,1167
5748,26484,0,4090,1167
5770,26506,0,4090,1167
5780,26516,0,4090,1167
5799,26535,0,4090,1167
5812,26548,0,4090,1167
5830,26566,0,4090,1167
5844,26580,0,4090,1167
5870,26606,0,4090,1167
5880,26616,0,4090,1167
5892,26628,0,4090,1167
5908,26644,0,4090,1167
5930,26666,0,4090,1167
5940,26676,0,4090,1167
5959,26695,0,4090,1167
5972,26708,0,4090,1167
5990,26726,0,4090,1167
6004,26740,0,4090,1167
6030,26766,0,4090,1167
6040,26776,0,4090,1167
6052,26788,0,4090,1167
6070,26806,0,4090,1167
6084,26820,0,4090,1167
6110,26846,0,4090,1167
6120,26856,0,4090,1167
6132,26868,0,4090,1167
6150,26886,0,4090,1167
6164,26900,0,4090,1167
6190,26926,0,4090,1167
6201,26937,0,4090,1167
6212,26948,0,4090,1167
6228,26964,0,4090,1167
6270,27006,0,4090,1167
6280,27016,1025,4090,1165
6292,27028,1027,4090,1160
6310,27046,1036,4090,1141
6324,27060,1043,4090,1121
6350,27086,1051,4090,1076
6360,27096,1052,4090,1058
6373,27109,1050,4090,1042
6390,27126,1044,4090,1021
6404,27140,1042,4090,1006
6420,27156,1041,4090,988
6439,27175,1042,4090,966
6452,27188,1043,4090,949
6470,27206,1046,4090,923
6485,27221,1046,4090,904
6510,27246,1044,4090,874
6520,27256,1043,4090,863
6532,27268,1043,4090,848
6550,27286,1043,4090,826
6564,27300,1044,4090,808
6590,27326,1045,4090,774
6600,27336,1044,4090,762
6612,27348,1044,4090,748
6630,27366,1043,4090,725
6644,27380,1044,4090,708
6670,27406,1044,4090,674
6680,27416,1044,4090,661
6692,27428,1045,4090,644
6710,27446,1045,4090,621
