Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Time(ms since epoch)
4.819,0.346,0.316,-0.8912.410,-51.768,47.622,49.573
4.898,0.344,0.292,-0.8992.450,-6.524,0.000,-2.500
4.977,0.355,0.279,-0.9012.489,-15.183,-34.695,-19.756
5.056,0.354,0.278,-0.8992.529,-7.012,-12.561,-6.890
5.134,0.350,0.281,-0.9042.568,2.622,7.378,6.890
5.213,0.333,0.308,-0.9112.608,1.524,12.500,8.049
5.292,0.301,0.370,-0.9242.647,-6.220,10.061,5.488
5.371,0.259,0.220,-0.9802.687,-5.122,10.854,5.732
5.450,0.346,0.000,-0.9612.726,-4.024,9.695,3.720
5.529,0.450,-0.028,-0.7952.766,-5.671,7.256,0.122
5.608,0.568,0.035,-0.9092.804,-18.476,15.549,2.622
5.688,0.661,-0.195,-0.7512.844,-53.293,37.744,31.098
5.767,0.573,-0.558,-0.5732.883,-40.122,102.805,52.927
5.846,0.414,-0.703,-0.5012.923,-44.024,92.439,55.427
5.925,0.315,-0.766,-0.4872.962,-22.500,-9.939,16.585
6.004,0.348,-0.772,-0.5723.002,-4.451,-55.732,-12.988
6.083,0.281,-0.811,-0.4863.041,-12.439,-43.354,-8.537
6.162,0.218,-0.904,-0.3773.081,0.915,0.122,3.537
6.241,0.109,-0.897,-0.4393.120,2.195,22.683,7.500
6.319,-0.065,-0.899,-0.4183.160,0.793,18.476,7.988
6.398,-0.174,-0.872,-0.4683.200,-2.805,3.293,1.220
6.477,-0.256,-0.865,-0.4793.239,-3.902,-7.927,-3.354
6.556,-0.335,-0.790,-0.4943.279,-0.122,1.159,0.366
6.635,-0.343,-0.814,-0.5393.318,-2.073,-1.220,-0.183
6.714,-0.453,-0.780,-0.4553.358,-0.488,-10.183,-3.598
6.794,-0.628,-0.655,-0.4093.397,-2.439,-12.683,-3.902
6.873,-0.685,-0.613,-0.3943.437,-0.244,-8.354,-0.915
6.952,-0.817,-0.528,-0.3683.476,2.622,0.854,1.463
7.031,-0.919,-0.290,-0.3563.516,2.805,5.610,3.232
7.110,-0.955,0.062,-0.3623.555,3.659,10.671,7.317
7.189,-0.953,0.124,-0.4383.595,-0.549,9.512,9.207
7.268,-0.840,0.283,-0.5083.635,0.122,7.561,9.024
